player_name	normalized_name
Brycen Tremayne	brycen tremayne
Zander Horvath	zander horvath
Ramiz Ahmed	ramiz ahmed
Greg Olsen	greg olsen
Devin Funchess	devin funchess
Jesper Horsted	jesper horsted
Pierre Strong	pierre strong
George Holani	george holani
Davis Webb	davis webb
Robert Griffin III	robert griffin
Hale Hentges	hale hentges
Cam Sims	cam sims
Kylen Granson	kylen granson
Brenton Strange	brenton strange
George Kittle	george kittle
Malik Cunningham	malik cunningham
E.J. Jenkins	ej jenkins
Demarcus Robinson	demarcus robinson
Mark Ingram	mark ingram
Dak Prescott	dak prescott
RJ Harvey	rj harvey
Greg Dulcich	greg dulcich
Cam Grandy	cam grandy
Jared Goff	jared goff
Kapri Bibbs	kapri bibbs
Drew Lock	drew lock
Maurice Harris	maurice harris
Chris Brooks	chris brooks
Collin Johnson	collin johnson
Taylor Heinicke	taylor heinicke
Cody Parkey	cody parkey
Ben Sinnott	ben sinnott
Jaylin Noel	jaylin noel
Cooper Rush	cooper rush
Javon Wims	javon wims
Rico Gathers	rico gathers
Joshua Dobbs	joshua dobbs
Kendric Pryor	kendric pryor
Riley Leonard	riley leonard
Taylor Russolino	taylor russolino
Rondale Moore	rondale moore
Donte Moncrief	donte moncrief
Terry Godwin	terry godwin
Devaughn Vele	devaughnele
Travis Benjamin	travis benjamin
Jordan Mims	jordan mims
Isaiah Bond	isaiah bond
Jayden Daniels	jayden daniels
Cole Kmet	cole kmet
Steven Sims	steven sims
Nelson Agholor	nelson agholor
Xavier Gipson	xavier gipson
Keith Kirkwood	keith kirkwood
Oronde Gadsden II	oronde gadsden
John Ursua	john ursua
Devine Ozigbo	devine ozigbo
Kyle Trask	kyle trask
Michael Roberts	michael roberts
Johnny Stanton	johnny stanton
Blake Whiteheart	blake whiteheart
Easop Winston	easop winston
Dax Milne	dax milne
Terrelle Pryor	terrelle pryor
Evan Hull	evan hull
Montrell Washington	montrell washington
Chad Hansen	chad hansen
Cedric Tillman	cedric tillman
Adam Humphries	adam humphries
Tyler Badie	tyler badie
Benny Cunningham	benny cunningham
Jonathon Brooks	jonathon brooks
Ryquell Armstead	ryquell armstead
Zay Jones	zay jones
Gehrig Dieter	gehrig dieter
Rasheen Ali	rasheen ali
Matt Barkley	matt barkley
Duke Williams	duke williams
Chris Moore	chris moore
Tucker Fisk	tucker fisk
Dominique Dafney	dominique dafney
Tay Martin	tay martin
Hunter Long	hunter long
Stefon Diggs	stefon diggs
Austin Carr	austin carr
Alfred Morris	alfred morris
Ben DiNucci	ben dinucci
C.J. Prosise	cj prosise
Kyler Murray	kyler murray
Arian Smith	arian smith
Malcolm Brown	malcolm brown
Phil Dawson	phil dawson
Darrynton Evans	darrynton evans
Temarrick Hemingway	temarrick hemingway
Jaleel McLaughlin	jaleel mclaughlin
Tre Harris	tre harris
Cade Stover	cade stover
Drake Maye	drake maye
Deebo Samuel Sr.	deebo samuel
Isaac Nauta	isaac nauta
Will Reichard	will reichard
Clive Walford	clive walford
Trevor Davis	trevor davis
Jake Ferguson	jake ferguson
Caleb Wilson	caleb wilson
Alexander Mattison	alexander mattison
Jimmy Graham	jimmy graham
Jauan Jennings	jauan jennings
British Brooks	british brooks
Najee Harris	najee harris
Sean Mannion	sean mannion
Gerald Everett	gerald everett
Theo Johnson	theo johnson
Demaryius Thomas	demaryius thomas
Shaun Wilson	shaun wilson
Jeremy Ruckert	jeremy ruckert
Jacques Patrick	jacques patrick
Tyler Shough	tyler shough
Jacob Eason	jacob eason
Frank Darby	frank darby
Tyler Lockett	tyler lockett
Jaylin Lane	jaylin lane
Andy Isabella	andy isabella
Riley Patterson	riley patterson
Jordan Addison	jordan addison
Jeremy Sprinkle	jeremy sprinkle
Andrei Iosivas	andrei iosivas
PJ Walker	pj walker
Tarik Cohen	tarik cohen
Eric Ebron	eric ebron
Josh Adams	josh adams
Stephen Gostkowski	stephen gostkowski
Michael Walker	michael walker
Brandon Dillon	brandon dillon
Zach Gentry	zach gentry
Clayton Tune	clayton tune
David Grinnage	david grinnage
Devin Culp	devin culp
Ryan Hewitt	ryan hewitt
Tyler Bass	tyler bass
Mason Crosby	mason crosby
Shedrick Jackson	shedrick jackson
Trey Edmunds	trey edmunds
Tom Kennedy	tom kennedy
Chad Kelly	chad kelly
Latavius Murray	latavius murray
Mike Badgley	mike badgley
Caleb Williams	caleb williams
Jaelon Darden	jaelon darden
Tai Felton	tai felton
Brian Hoyer	brian hoyer
Matthew Stafford	matthew stafford
Joe Mixon	joe mixon
Mitchell Wilcox	mitchell wilcox
Tevin Coleman	tevin coleman
Jason Brownlee	jason brownlee
Jordan Howard	jordan howard
Ian Thomas	ian thomas
Zach Evans	zach evans
Jawill Davis	jawill davis
Cole Fotheringham	cole fotheringham
Luke Musgrave	luke musgrave
Raymond Calais	raymond calais
Dare Ogunbowale	dare ogunbowale
Daniel Bellinger	daniel bellinger
Hakeem Butler	hakeem butler
Isaiah Williams	isaiah williams
KhaDarel Hodge	khadarel hodge
Deuce Vaughn	deuceaughn
Jamaal Charles	jamaal charles
Malik Willis	malik willis
Equanimeous St. Brown	equanimeous st brown
Charles Clay	charles clay
Nathan Cottrell	nathan cottrell
Justin Jackson	justin jackson
Kenyan Drake	kenyan drake
Gardner Minshew	gardner minshew
Tyler Kroft	tyler kroft
Javorius Allen	javorius allen
Bryce Perkins	bryce perkins
Jace Sternberger	jace sternberger
Dylan Laube	dylan laube
Jerome Ford	jerome ford
Keleki Latu	keleki latu
Cyril Grayson	cyril grayson
